Economy,Year,Residential,GDP per capita
11_MEX,2064,0.0,
11_MEX,2065,0.0,
11_MEX,2066,0.0,
11_MEX,2067,0.0,
11_MEX,2068,0.0,
11_MEX,2069,0.0,
11_MEX,2070,0.0,
12_NZ,2017,64.77671492581842,41721.95281794625
12_NZ,2018,63.507421352136376,42507.56801263709
12_NZ,2019,64.22912989534966,43080.05641030871
12_NZ,2020,64.96301542022695,39653.548668900075
12_NZ,2021,66.14973644792047,41661.27671299676
12_NZ,2022,66.0520051865692,42527.00691742479
12_NZ,2023,65.95317573514497,43334.16380345559
12_NZ,2024,65.91725973455432,44115.91340668817
12_NZ,2025,65.89143609558585,44902.887558663446
12_NZ,2026,65.67304891938895,45700.25691533745
12_NZ,2027,65.53341127680916,46511.44272384593
12_NZ,2028,65.39905850732654,47339.503728291595
12_NZ,2029,65.27010566915108,48187.63568616403
12_NZ,2030,65.12542246287697,49058.24131067419
12_NZ,2031,65.01768308384722,49953.06432210022
12_NZ,2032,64.91480180697553,50872.98029327792
12_NZ,2033,64.81799060938228,51819.03409136726
12_NZ,2034,64.72920267703964,52792.93412455756
12_NZ,2035,64.65066075077902,53796.726687395865
12_NZ,2036,64.58347907172806,54833.513881623905
12_NZ,2037,64.5225961906865,55899.67215023078
12_NZ,2038,64.46814674768524,56997.213861767996
12_NZ,2039,64.420332208558,58128.76090778261
12_NZ,2040,64.37937483191706,59296.79852235192
12_NZ,2041,64.35940172559457,60503.39548142997
12_NZ,2042,64.35401793470047,61755.910174768156
12_NZ,2043,64.3619814260259,63053.727093454334
12_NZ,2044,64.37994483394048,64395.87436109743
12_NZ,2045,64.4051683113857,65781.89501032558
12_NZ,2046,64.43430941569069,67211.6022929717
12_NZ,2047,64.45777655303365,68676.39673295623
12_NZ,2048,64.47305513640488,70175.46188817108
